part_nr;name;ID of participant
Outfit Significance;ordinal;Significance of clothes;Unimportant,Of Little Importance,Important,Very Important
Dressing (Outfit);categoric;It's fascinating for me to slip into different roles by wearing different outfits.
Outfit Conformity;categoric;My clothes shall demonstrate that I belong to a particular peer group.
Body-con clothing;categoric;I like wearing clothes that accentuate my body figure.
Self assurance (Outfit);categoric;If I'm well dressed I feel more self-confident. 
Functional clothing;categoric;A appreciate functional clothes with embedded IT-gadgets (e.g. MP3-Player).
Cleanliness;categoric;My clothes must be clean and neat.
Individuality;categoric;I don't care about what other people think of my clothes as long as I like them. 
Proven Clothing Habits;categoric;I do not like to change my outfit style. I rather stick to my habitual style.
Risk aversive clothing;categoric;I prefer to dress unobtrusive.
Comfort clothing;categoric;My outfit motto: dress comfortable and useful.
Shallowness;categoric;I judge people on their outfit.
Outfit as Status Indicator;categoric;The outfit style of people indicates their social position.
Style Sympathy;categoric;Persons with a similar fashion style are immediately likeable to me.
Eco-Friendly Clothing;categoric;I only buy clothes with an emission permit if applicable.
High Fashion Clothing;categoric;I buy fewer clothes but preferably exclusive items.
Discount Clothing;categoric;Discounter also offer trendy clothes nowadays.
Style Uncertainty;categoric;I often doubt my style.
Trendsetting;categoric;I'm always in search for new dressing ideas.
Trendy Outfits ;categoric;I know fashion In's and Out's.
Outfit as Character Indicator;categoric;I believe that clothes say a lot about personality. 
Conservative Clothing;categoric;Nowadays fashion trends are too crazy to be wearable.
Fashion Sense;categoric;I have a reliable sense of style and select only suitable items from current trends.
Trend Observation;categoric;I wait and see if fashion trends can take roots before I join them.
Fashion Disorientation;categoric;Nowadays, it's difficult for me to find pretty clothes due to the increasing fashion variety.
Peer Group Brand Preference;categoric;I mostly buy clothes and brands my friends will like as well.
Brand Recognition;categoric;I appreciate if everyone can recognize my clothes' brands.
Brand Prestige;categoric;I believe that exclusive brands raise your self-assurance.
Brand Image;categoric;Just particular brands guarantee top-quality.
Brand Loyalty;categoric;I stick to a brand if I am convinced of it.
Brand Name Fees;categoric;With higher-end brands, you pay for the name but the quality of products is not surpassing.
Smart Shopping;categoric;I only buy brand clothes for reduced prices (e.g. as special offers).
Adidas;categoric;Brand Awareness "Adidas"
Aigner;categoric;Brand Awareness "Aigner"
Airfield;categoric;Brand Awareness "Airfield"
Armani Jeans;categoric;Brand Awareness "Armani Jeans"
Barbour;categoric;Brand Awareness "Barbour"
Basler;categoric;Brand Awareness "Basler"
Benetton;categoric;Brand Awareness "Benetton"
Bogner;categoric;Brand Awareness "Bogner"
Boss;categoric;Brand Awareness "Boss"
Brax;categoric;Brand Awareness "Brax"
Bugatti;categoric;Brand Awareness "Bugatti"
Burberry;categoric;Brand Awareness "Burberry"
Calvin Klein;categoric;Brand Awareness "Calvin Klein"
Camel Active;categoric;Brand Awareness "Camel Active"
Chanel;categoric;Brand Awareness "Chanel"
Christ;categoric;Brand Awareness "Christ"
Cinque;categoric;Brand Awareness "Cinque"
Closed;categoric;Brand Awareness "Closed"
Comma;categoric;Brand Awareness "Comma"
Daks;categoric;Brand Awareness "Daks"
Daniel Hechter;categoric;Brand Awareness "Daniel Hechter"
Diesel;categoric;Brand Awareness "Diesel"
Dior;categoric;Brand Awareness "Dior"
Dockers;categoric;Brand Awareness "Dockers"
Dolce Gabbana;categoric;Brand Awareness "Dolce & Gabbana"
Eduard Dressler;categoric;Brand Awareness "Eduard Dressler"
Emporio Armani;categoric;Brand Awareness "Emporio Armani"
Escada;categoric;Brand Awareness "Escada"
Esprit;categoric;Brand Awareness "Esprit"
Eterna;categoric;Brand Awareness "Eterna"
Falke;categoric;Brand Awareness "Falke"
Fay;categoric;Brand Awareness "Fay"
Gant;categoric;Brand Awareness "Gant"
Gardeur;categoric;Brand Awareness "Gardeur"
Gerry Weber;categoric;Brand Awareness "Gerry Weber"
Giorgio Armani;categoric;Brand Awareness "Giorgio Armani"
GStar;categoric;Brand Awareness "G-Star"
GuessJeans;categoric;Brand Awareness "Guess (Jeans)"
