1;Aeugst am Albis;urban;east;Zuerich;ger;241;4.7;4.4;13.6;45.5;15.45;0.37;12.36;21.6;63.2;15.1;43.98;46.91;11.6;52.7;31.3;14;3.71;82.29;31.3;0.1;0.7;-2.4;0;-4;-4;6.8;-1.8;3.6;-0.1;-1.3;1.2;14;3.3;15.2;28.7;6.8;4.2;10.7;0;9.7;4.9;43.7;48.6;no
2;Affoltern am Albis;urban;east;Zuerich;ger;1052;0.6;0;26;34.7;29.22;7;9.27;21.4;63;15.5;43.2;44.92;25;45.7;28.9;1.31;24.14;74.54;9.9;0.6;3.4;-0.6;-2.5;-0.8;-5.6;6.6;-0.2;3.9;0;-1.6;0.9;10.8;5.7;16.5;31.9;6.6;4.5;10.3;0.1;8.4;2.3;55.3;51.5;no
3;Bonstetten;urban;east;Zuerich;ger;696;0.3;-1;12.7;33.69;21.94;1.41;11.35;23.9;63.5;12.6;43.28;47.94;13.3;57.3;29.2;11.49;13.62;74.89;3.3;0.3;0.5;-4.5;-2.5;-2.2;-3.5;5.7;-0.3;8.4;0;-2.8;-1;12.7;3.7;18.2;27.1;5.7;3.3;17;0.1;7.5;1.6;45.1;50.1;no
4;Hausen am Albis;suburban;east;Zuerich;ger;246;-0.1;-0.4;12.4;42.94;27.68;1.46;12.84;23.8;61.3;14.9;42.25;46.75;10.7;58;29;13.77;33.37;52.86;2.4;1.9;0.8;-2.1;-3.2;-2.7;-5.8;6.7;-0.5;7.1;-0.1;-1.1;1.5;9.6;3.3;15.6;33.5;6.7;2.2;14.2;0;11.4;1.7;47;47.3;no
5;Hedingen;urban;east;Zuerich;ger;531;1.7;0.9;14;41.8;24.76;4.41;11.59;24;63;13;41.89;48.8;18.6;48;32.6;2.26;62.75;34.99;5;0.7;1.1;-5.6;-4.1;1.1;-2.6;4;0.1;6.6;0.2;-0.5;5.6;8.2;3.7;20.5;31.4;4;4.1;14.3;0.2;9.1;2.2;48.6;45.9;no
6;Kappel am Albis;suburban;east;Zuerich;ger;121;4.1;2.7;12.1;50.21;23.12;0.73;11.61;24.8;62.7;12.6;41.53;44.87;7.4;70.6;21;23.55;25.1;51.35;16.3;5.4;0.4;1.6;-2.2;-0.4;-8.1;6.2;-1.5;1.1;-0.1;1;1.5;9;4.5;10.5;46.6;6.2;4.9;7.4;0;6.7;1;48;58.2;no
7;Knonau;urban;east;Zuerich;ger;293;5.2;4.4;12.7;33;26.24;1.16;7.5;24.4;61.1;14.5;43.19;50.48;16;64.5;17.7;14.83;21.35;63.82;25;8.2;1.2;-3.7;-3.1;1.6;-4.1;6.4;-3;6.2;0.1;-1;3;7.3;4.8;17.1;32.1;6.4;7;12.3;0.1;7.8;3.8;50.9;52.8;no
8;Maschwanden;suburban;east;Zuerich;ger;137;4.1;2.9;9.5;51.01;21.22;0;8.89;24;60.2;15.8;46.96;42.9;8.3;61.5;24.1;35.82;11.94;52.24;43.8;1.4;0.3;2.7;-3.6;-0.7;-7.2;4.9;0.2;4.1;0;-2.8;3.6;6.2;1.6;20.7;37.8;4.9;8.2;10.7;0;3.8;3.1;50.6;53.3;no
9;Mettmenstetten;urban;east;Zuerich;ger;336;3.2;2.5;12.9;41.92;23.26;1.05;9.71;23.1;63;13.8;43.23;46.42;13.1;67.9;18.9;12.31;42.72;44.97;13.4;2.1;1.2;-2.1;-2;-1.7;-4.5;6.8;-0.5;5.9;-0.2;-2.8;1;9.3;4.6;16.3;30.6;6.8;4.1;13.4;0.1;7.9;4.6;45.2;50.8;no
10;Obfelden;urban;east;Zuerich;ger;631;1.6;1.1;17.9;37.47;27.2;3.68;10.69;23.8;62.2;14.1;42.62;48.6;20.1;54.3;22.6;6.34;31.31;62.35;1.9;0.4;2.2;-1;-2.5;0.7;-6;7.2;-0.8;3.4;0.1;-2.3;1.8;11;6.5;16.3;32;7.2;4.4;9.5;0.1;6.6;4.4;52.3;56;no
